lucode,NAME,HABITAT,urban,cropland,roads
0,NODATA,0,0,0,0
101,Urban,0.00,0.00,0.00,0.00
102,Cropland,0.20,0.80,0.30,0.60
103,Grassland,0.80,0.80,0.60,0.70
104,Forest and woodlands,1.00,0.90,0.60,0.80
105,Heathland and shrub,0.90,0.90,0.60,0.70
106,Sparsely vegetated land,0.50,0.40,0.20,0.30
107,Wetlands,1.00,1.00,0.80,0.90
200,Rivers and lakes,0.80,0.60,0.50,0.40
